date,ADA,BNB,BTC,DOGE,ETH,LTC,SOL,XRP
2020-04-10 00:00:00+00:00,0.03316,13.74,6876.49,0.002,158.16,42.35,0.9496,0.1878
2020-04-11 00:00:00+00:00,0.03353,13.85,6887.6,0.001976,158.55,42.59,0.7973,0.189
2020-04-12 00:00:00+00:00,0.03354,14.3,6913.76,0.002033,158.81,42.05,0.883,0.1897
2020-04-13 00:00:00+00:00,0.0332,15.06,6859.43,0.001962,156.81,41.32,0.7772,0.1882
2020-04-14 00:00:00+00:00,0.03313,15.63,6879.44,0.00201,158.64,41.27,0.6664,0.1862
2020-04-15 00:00:00+00:00,0.03185,14.58,6629.54,0.001979,152.94,39.29,0.6382,0.1805
2020-04-16 00:00:00+00:00,0.03441,15.74,7114.55,0.002036,172.6,42.59,0.6928,0.1907
2020-04-17 00:00:00+00:00,0.03448,15.67,7037.12,0.002058,170.79,42.25,0.6555,0.1886
2020-04-18 00:00:00+00:00,0.0366,16.65,7264.29,0.00209,187.85,44.22,0.6786,0.1958
2020-04-19 00:00:00+00:00,0.03561,16.08,7132.88,0.002077,180.32,42.29,0.6047,0.1893
2020-04-20 00:00:00+00:00,0.03401,14.98,6842.45,0.002049,170.65,40.3,0.5331,0.1819
2020-04-21 00:00:00+00:00,0.03464,15.12,6855.11,0.002027,171.03,40.68,0.5789,0.1838
2020-04-22 00:00:00+00:00,0.03666,15.76,7135.41,0.002038,183.02,41.9,0.6917,0.1882
2020-04-23 00:00:00+00:00,0.04085,16.06,7489.25,0.002062,185.73,43.02,0.6341,0.1925
2020-04-24 00:00:00+00:00,0.04169,15.95,7509.44,0.002067,187.66,44.55,0.6229,0.1931
2020-04-25 00:00:00+00:00,0.04214,16.24,7546.92,0.002118,194.41,44.45,0.6442,0.1946
2020-04-26 00:00:00+00:00,0.04593,16.41,7701.35,0.002416,197.62,44.61,0.6346,0.1965
2020-04-27 00:00:00+00:00,0.04658,16.41,7787.41,0.002349,196.71,44.56,0.5734,0.1978
2020-04-28 00:00:00+00:00,0.047,16.35,7760.32,0.002295,196.88,45.77,0.6554,0.215
2020-04-29 00:00:00+00:00,0.05155,17.4,8784.96,0.002429,215.58,48.84,0.7469,0.2268
2020-04-30 00:00:00+00:00,0.0475,17.0,8637.56,0.002464,206.44,46.43,0.6913,0.2116
2020-05-01 00:00:00+00:00,0.05101,17.44,8829.12,0.002492,212.16,47.09,0.7248,0.2179
2020-05-02 00:00:00+00:00,0.05097,17.55,8981.11,0.002521,214.11,49.23,0.7079,0.2239
2020-05-03 00:00:00+00:00,0.04899,17.12,8907.19,0.002544,210.12,48.16,0.6808,0.2194
2020-05-04 00:00:00+00:00,0.04957,17.03,8881.65,0.002445,206.76,47.07,0.6699,0.2181
2020-05-05 00:00:00+00:00,0.04953,16.91,9029.75,0.00245,205.43,46.59,0.6445,0.2172
2020-05-06 00:00:00+00:00,0.04907,16.38,9153.2,0.002511,199.08,45.0,0.6171,0.2119
2020-05-07 00:00:00+00:00,0.05131,17.03,9999.93,0.002612,212.3,47.47,0.6088,0.2188
2020-05-08 00:00:00+00:00,0.0521,17.16,9808.18,0.002603,211.46,47.73,0.6052,0.2188
2020-05-09 00:00:00+00:00,0.05151,16.81,9541.13,0.00257,210.19,46.96,0.6037,0.2165
2020-05-10 00:00:00+00:00,0.04767,15.34,8735.05,0.00252,187.72,42.09,0.5413,0.1975
2020-05-11 00:00:00+00:00,0.04796,15.09,8568.88,0.002438,185.77,41.53,0.5183,0.1932
2020-05-12 00:00:00+00:00,0.05049,15.78,8821.18,0.002506,190.1,42.24,0.5367,0.1972
2020-05-13 00:00:00+00:00,0.05168,16.21,9317.44,0.002515,199.86,43.27,0.5544,0.2019
2020-05-14 00:00:00+00:00,0.05111,16.37,9793.19,0.002593,203.31,43.99,0.5722,0.204
2020-05-15 00:00:00+00:00,0.05025,15.7,9311.69,0.002513,194.71,42.74,0.5571,0.1979
2020-05-16 00:00:00+00:00,0.05097,16.04,9387.08,0.002469,200.6,43.27,0.5986,0.1996
2020-05-17 00:00:00+00:00,0.05136,16.29,9670.56,0.002539,206.76,43.69,0.6147,0.2013
2020-05-18 00:00:00+00:00,0.05422,16.63,9722.73,0.00255,214.68,45.31,0.6532,0.2054
2020-05-19 00:00:00+00:00,0.05682,17.21,9780.2,0.002522,214.68,45.75,0.6287,0.2051
2020-05-20 00:00:00+00:00,0.05692,16.88,9509.45,0.002528,209.87,44.21,0.5827,0.2016
