coin,date_start,date_end,n_test,target,model,acc,f1
BTC,2021-04-11 00:00:00+00:00,2021-05-10 00:00:00+00:00,30,target_direction,LSTM,0.4,0.5714285714285714
BTC,2021-04-11 00:00:00+00:00,2021-05-10 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.5555555555555556
BTC,2021-05-11 00:00:00+00:00,2021-06-09 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
BTC,2021-05-11 00:00:00+00:00,2021-06-09 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.6046511627906976
BTC,2021-06-10 00:00:00+00:00,2021-07-09 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2021-06-10 00:00:00+00:00,2021-07-09 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.5853658536585366
BTC,2021-07-10 00:00:00+00:00,2021-08-08 00:00:00+00:00,30,target_direction,LSTM,0.6,0.75
BTC,2021-07-10 00:00:00+00:00,2021-08-08 00:00:00+00:00,30,target_direction,Transformer,0.5666666666666667,0.6486486486486487
BTC,2021-08-09 00:00:00+00:00,2021-09-07 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2021-08-09 00:00:00+00:00,2021-09-07 00:00:00+00:00,30,target_direction,Transformer,0.7666666666666667,0.7407407407407407
BTC,2021-09-08 00:00:00+00:00,2021-10-07 00:00:00+00:00,30,target_direction,LSTM,0.5333333333333333,0.6956521739130435
BTC,2021-09-08 00:00:00+00:00,2021-10-07 00:00:00+00:00,30,target_direction,Transformer,0.3333333333333333,0.47368421052631576
BTC,2021-10-08 00:00:00+00:00,2021-11-06 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2021-10-08 00:00:00+00:00,2021-11-06 00:00:00+00:00,30,target_direction,Transformer,0.6666666666666666,0.7222222222222222
BTC,2021-11-07 00:00:00+00:00,2021-12-06 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2021-11-07 00:00:00+00:00,2021-12-06 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.6
BTC,2021-12-07 00:00:00+00:00,2022-01-05 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
BTC,2021-12-07 00:00:00+00:00,2022-01-05 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.4666666666666667
BTC,2022-01-06 00:00:00+00:00,2022-02-04 00:00:00+00:00,30,target_direction,LSTM,0.5666666666666667,0.723404255319149
BTC,2022-01-06 00:00:00+00:00,2022-02-04 00:00:00+00:00,30,target_direction,Transformer,0.6333333333333333,0.717948717948718
BTC,2022-02-05 00:00:00+00:00,2022-03-06 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
BTC,2022-02-05 00:00:00+00:00,2022-03-06 00:00:00+00:00,30,target_direction,Transformer,0.5333333333333333,0.5333333333333333
BTC,2022-03-07 00:00:00+00:00,2022-04-05 00:00:00+00:00,30,target_direction,LSTM,0.6,0.75
BTC,2022-03-07 00:00:00+00:00,2022-04-05 00:00:00+00:00,30,target_direction,Transformer,0.4666666666666667,0.6
BTC,2022-04-06 00:00:00+00:00,2022-05-05 00:00:00+00:00,30,target_direction,LSTM,0.4666666666666667,0.6363636363636364
BTC,2022-04-06 00:00:00+00:00,2022-05-05 00:00:00+00:00,30,target_direction,Transformer,0.4,0.47058823529411764
BTC,2022-05-06 00:00:00+00:00,2022-06-04 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
BTC,2022-05-06 00:00:00+00:00,2022-06-04 00:00:00+00:00,30,target_direction,Transformer,0.5,0.5714285714285714
BTC,2022-06-05 00:00:00+00:00,2022-07-04 00:00:00+00:00,30,target_direction,LSTM,0.36666666666666664,0.5365853658536586
BTC,2022-06-05 00:00:00+00:00,2022-07-04 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.48484848484848486
BTC,2022-07-05 00:00:00+00:00,2022-08-03 00:00:00+00:00,30,target_direction,LSTM,0.36666666666666664,0.5365853658536586
BTC,2022-07-05 00:00:00+00:00,2022-08-03 00:00:00+00:00,30,target_direction,Transformer,0.43333333333333335,0.32
BTC,2022-08-04 00:00:00+00:00,2022-09-02 00:00:00+00:00,30,target_direction,LSTM,0.43333333333333335,0.6046511627906976
BTC,2022-08-04 00:00:00+00:00,2022-09-02 00:00:00+00:00,30,target_direction,Transformer,0.5666666666666667,0.5517241379310345
BTC,2022-09-03 00:00:00+00:00,2022-10-02 00:00:00+00:00,30,target_direction,LSTM,0.5,0.6666666666666666
