coin,ordinal_model,baseline,DM_stat,p_value,significant_p05
BTC,MLP_ordinal,LSTM,0.845,0.3981,False
BTC,MLP_ordinal,Transformer,0.937,0.349,False
ETH,RF_ordinal,LSTM,0.6,0.5482,False
ETH,RF_ordinal,Transformer,-1.077,0.2814,False
BNB,MLP_ordinal,LSTM,1.331,0.1831,False
BNB,MLP_ordinal,Transformer,0.283,0.7776,False
SOL,RF_ordinal,LSTM,0.531,0.5957,False
SOL,RF_ordinal,Transformer,-2.191,0.0284,True
XRP,LogReg_ordinal,LSTM,-1.219,0.2229,False
XRP,LogReg_ordinal,Transformer,-0.31,0.7568,False
ADA,RF_ordinal,LSTM,0.797,0.4252,False
ADA,RF_ordinal,Transformer,0.406,0.6851,False
DOGE,RF_ordinal,LSTM,0.757,0.4492,False
DOGE,RF_ordinal,Transformer,0.23,0.8184,False
LTC,GBM_ordinal,LSTM,-0.831,0.406,False
LTC,GBM_ordinal,Transformer,-0.68,0.4964,False
