scale,n_points,coin,MPE
1,2210,ADA,0.999464
1,2210,BNB,0.999805
1,2210,BTC,0.99977
1,2210,DOGE,0.999921
1,2210,ETH,0.999762
1,2210,LTC,0.999517
1,2210,SOL,0.999791
1,2210,XRP,0.999549
2,1105,ADA,0.999848
2,1105,BNB,0.999793
2,1105,BTC,0.999263
2,1105,DOGE,0.99922
2,1105,ETH,0.998338
2,1105,LTC,0.999826
2,1105,SOL,0.999831
2,1105,XRP,0.999243
3,736,ADA,0.999349
3,736,BNB,0.998459
3,736,BTC,0.999335
3,736,DOGE,0.99929
3,736,ETH,0.999502
3,736,LTC,0.998675
3,736,SOL,0.999067
3,736,XRP,0.999368
5,442,ADA,0.996243
5,442,BNB,0.997154
5,442,BTC,0.997069
5,442,DOGE,0.998773
5,442,ETH,0.998972
5,442,LTC,0.996684
5,442,SOL,0.997733
5,442,XRP,0.999444
7,315,ADA,0.999502
7,315,BNB,0.998691
7,315,BTC,0.999713
7,315,DOGE,0.99926
7,315,ETH,0.994922
7,315,LTC,0.999035
7,315,SOL,0.998388
7,315,XRP,0.994487
10,221,ADA,0.994603
10,221,BNB,0.998894
10,221,BTC,0.996672
10,221,DOGE,0.997385
10,221,ETH,0.998471
10,221,LTC,0.987981
10,221,SOL,0.996375
10,221,XRP,0.995861
